PSNR,SSIM,UIQM (Generated),UIQM (Ground Truth)
27.091328,0.98801297,4.680696,4.8403997
27.78558,0.9765861,4.6814423,4.841064
25.477448,0.9839987,4.6810393,4.8407135
20.078564,0.94079465,4.6807084,4.8404794
22.328064,0.943923,4.680402,4.8405514
23.844524,0.9561491,4.680631,4.8403788
23.032188,0.95220953,4.681109,4.840887
23.713636,0.95397836,4.681053,4.840631
20.999432,0.93688416,4.680485,4.8404994
21.168568,0.9372355,4.681423,4.840757
14.835782,0.46500874,4.6805634,4.840323
27.74968,0.9813551,4.6805387,4.8403344
12.620088,0.64621156,4.6811056,4.8414383
27.206161,0.9714303,4.680404,4.840218
20.602192,0.95506173,4.681048,4.841233
24.396875,0.9774273,4.681657,4.8412604
18.89048,0.94467,4.6815443,4.840998
26.741669,0.98597276,4.6804833,4.840164
20.336517,0.7891988,4.6807203,4.8403234
23.875475,0.96708596,4.6804957,4.840297
14.251291,0.6672286,4.6804094,4.8404393
17.533157,0.86038285,4.6804733,4.8411713
25.770504,0.98776615,4.680485,4.8402467
22.794567,0.8817152,4.680538,4.840362
27.891483,0.9699786,4.6803617,4.8401756
21.777971,0.93484,4.681396,4.840889
25.28187,0.98301,4.6806417,4.840374
21.41082,0.9442668,4.6805468,4.8402247
15.075752,0.77636015,4.6804557,4.8405204
24.78779,0.964545,4.680419,4.840346
16.514679,0.8605528,4.680598,4.840526
24.418995,0.9503911,4.680747,4.840599
26.911339,0.9869626,4.6813917,4.8410096
27.410242,0.94053334,4.6807294,4.8404336
21.287674,0.96180385,4.6805243,4.8405166
25.686989,0.9869698,4.6807947,4.8405085
25.70744,0.96784997,4.6807737,4.840459
12.270546,0.5550816,4.6807013,4.8406324
23.596981,0.97148645,4.6804247,4.8404393
23.426302,0.9566106,4.681291,4.841128
27.810863,0.98040736,4.6810684,4.840804
23.86076,0.94036835,4.6807685,4.8405123
27.740133,0.88761556,4.680336,4.8400974
25.797224,0.96279037,4.6811295,4.840869
20.001217,0.93876594,4.681044,4.8409095
26.267958,0.98177326,4.6810303,4.8407774
20.137089,0.8192077,4.6803784,4.8406672
21.948036,0.9553169,4.6804676,4.840341
20.45228,0.8966465,4.6808195,4.840627
22.713984,0.9538544,4.681302,4.841068
13.641199,0.7246816,4.680453,4.84081
23.79054,0.9811085,4.680741,4.840346
20.337229,0.87560874,4.6804523,4.8401017
21.770678,0.9619697,4.68146,4.8413515
21.835955,0.94110453,4.680466,4.840477
25.039778,0.9647659,4.680531,4.84041
25.16552,0.93416166,4.680469,4.839985
22.198591,0.9490891,4.6806536,4.8403273
23.069487,0.96946424,4.6805825,4.8403087
26.197865,0.97165596,4.680707,4.840489
23.511465,0.97131294,4.6808233,4.840616
24.701061,0.9732733,4.68117,4.840892
17.714201,0.9101452,4.681066,4.8406687
18.462269,0.7312246,4.680447,4.840309
25.65044,0.96841425,4.958869,5.110537
22.96848,0.89203393,4.958732,5.1106744
25.489487,0.97308815,4.95952,5.111144
19.668503,0.9163522,4.9585323,5.110615
21.341442,0.93392164,4.9587445,5.1106105
20.46915,0.837492,4.9583554,5.1098714
25.81681,0.958521,4.958272,5.1102147
25.077856,0.96859825,4.9587145,5.110392
26.141693,0.97852886,4.9591417,5.110737
25.931572,0.98081034,4.9583807,5.1102085
22.258583,0.9394393,4.958555,5.110275
25.036676,0.96060395,4.9584517,5.110127
21.969543,0.9257107,4.958366,5.110266
25.493753,0.97464585,4.9584074,5.110281
26.86651,0.980386,4.959537,5.1111403
26.797476,0.9796607,4.958396,5.110237
26.362633,0.97805494,4.959234,5.110969
17.681826,0.89553136,4.9590144,5.110353
21.073452,0.9470848,4.959315,5.110981
24.77502,0.9586264,4.9583507,5.110307
25.211756,0.9809682,4.959405,5.1111007
26.459023,0.9814522,4.958962,5.1106143
22.073895,0.9591184,4.9583683,5.110372
27.733992,0.9765756,4.959041,5.11076
24.019009,0.9361296,4.958463,5.110086
17.764307,0.90134555,4.9594088,5.111655
21.67414,0.921643,4.958414,5.110355
23.86366,0.97013086,4.959182,5.1108985
25.607487,0.97091466,4.9583488,5.1103415
22.971704,0.9546137,4.9588633,5.11062
24.58643,0.97378206,4.9583716,5.1101856
22.66899,0.94122326,4.9587197,5.110547
25.556986,0.9781,4.9592514,5.1109066
26.328943,0.97880036,4.9588556,5.110477
19.204062,0.9224874,4.9583826,5.110418
23.492468,0.9705502,4.9587207,5.1104617
24.359234,0.9036005,4.9583187,5.110235
22.474201,0.9592647,4.9589086,5.110692
23.216232,0.9671633,4.958356,5.110361
24.771687,0.97724944,4.9585857,5.1103826
24.126987,0.96988,4.9583664,5.1103683
18.801813,0.860539,4.958365,5.1103244
27.884014,0.9809489,4.95887,5.1105013
24.83019,0.9636225,4.959596,5.1111336
26.150372,0.9317398,4.9583325,5.109966
24.15055,0.979678,4.9591084,5.1107426
22.060966,0.9551315,4.9585,5.110435
22.053349,0.9339437,4.9585404,5.1102004
24.000437,0.964481,4.958834,5.110458
23.90321,0.9691226,4.958392,5.1104617
23.462261,0.96690124,4.958367,5.110372
14.845891,0.71087193,4.95837,5.110971
24.826374,0.9745153,4.959717,5.1113505
24.643208,0.95649594,4.958449,5.110047
17.388285,0.8048185,4.9583936,5.110247
21.947392,0.9710133,4.958414,5.1102247
22.306623,0.9728966,4.9588017,5.1105886
27.807121,0.9571464,4.95865,5.110395
22.91153,0.9437108,4.9584455,5.110397
26.52509,0.97714716,4.958434,5.110256
23.724604,0.92759424,4.9586716,5.1102324
20.474827,0.7656526,4.958308,5.110871
20.93175,0.8987644,4.9583626,5.1106153
21.44065,0.94092375,4.959081,5.1106462
21.988018,0.96369815,4.940165,5.2066708
26.143879,0.9845798,4.9410844,5.207587
15.919486,0.7966697,4.9399447,5.206454
15.407402,0.78466284,4.940044,5.206781
24.142065,0.95776725,4.9399657,5.2064996
24.302345,0.9663556,4.939979,5.206708
23.13683,0.90378565,4.9402833,5.206769
25.317823,0.97002697,4.940915,5.2074175
23.155405,0.9613935,4.940043,5.2066174
22.10703,0.9270893,4.939999,5.2068653
23.616526,0.958759,4.9399757,5.20643
21.287674,0.96180385,4.9400506,5.206795
22.501755,0.94168556,4.940649,5.2072167
27.487,0.9709212,4.9402704,5.2068524
26.69001,0.9907653,4.940358,5.2068734
24.661919,0.9806398,4.9401584,5.2066526
20.860443,0.9398708,4.941685,5.2077785
26.80335,0.9817606,4.939946,5.2065854
24.962063,0.97614926,4.9404387,5.2068305
21.854055,0.93552214,4.9399195,5.2068887
24.851753,0.981452,4.939994,5.2066565
23.545895,0.960081,4.939916,5.206604
27.312729,0.9691065,4.9399686,5.206421
21.81985,0.9481171,4.9399543,5.20675
22.728071,0.9363236,4.9400334,5.2067947
23.862474,0.9638414,4.9406185,5.207022
23.662634,0.96746397,4.9407144,5.2071753
19.18246,0.91273874,4.940239,5.2065053
21.642817,0.94039106,4.9400826,5.2069764
22.101603,0.95311904,4.940161,5.206819
23.631485,0.9510832,4.941012,5.2074394
25.645254,0.96447736,4.9405055,5.2070303
26.128368,0.9597242,4.9409494,5.2072544
22.304766,0.940081,4.9405217,5.207443
24.17418,0.9679523,4.9407635,5.2072015
24.061375,0.9692987,4.9403234,5.206777
20.837555,0.8263748,4.940185,5.206725
24.399824,0.95271975,4.9403954,5.206802
25.674168,0.9738614,4.940058,5.2068396
23.863174,0.97322243,4.9403796,5.2067714
23.912066,0.9680106,4.9400277,5.2066493
15.250172,0.8321595,4.9402585,5.207169
27.061445,0.9817769,4.9399047,5.2065463
17.492657,0.84437954,4.940004,5.206944
25.923874,0.98258007,4.9401646,5.2066426
25.045145,0.97618026,4.939996,5.2065587
23.38134,0.94282943,4.9402847,5.206712
23.138828,0.9560578,4.9400806,5.2069516
22.833765,0.9532972,4.940024,5.20655
22.314571,0.943859,4.940902,5.207489
21.738468,0.9642049,4.94032,5.206878
18.60809,0.87622845,4.9402757,5.206955
22.722355,0.9477387,4.9405994,5.2069097
25.309832,0.98556876,4.940008,5.2064424
25.686756,0.97786415,4.941424,5.207809
21.973078,0.882108,4.9398704,5.206915
24.53418,0.95030826,4.939986,5.2065825
28.93148,0.9649294,4.9398885,5.206497
23.305252,0.95694757,4.9403768,5.2069836
23.445127,0.9676126,4.939949,5.2066946
25.353664,0.9697889,4.939899,5.2063503
18.459076,0.8485973,4.939952,5.2071095
21.011238,0.90498936,4.9406767,5.207521
29.643175,0.9822259,4.9399376,5.2064195
23.155727,0.9470254,4.9824433,4.7226543
22.418335,0.91817963,4.9827366,4.722576
22.058872,0.8775745,4.9828954,4.7227225
19.871264,0.94711787,4.982908,4.722842
27.73386,0.98585933,4.9831486,4.7229953
24.321945,0.9597161,4.9826546,4.7225432
25.611187,0.9752504,4.98326,4.7231607
25.43552,0.9527185,4.982938,4.7226787
25.3363,0.97345346,4.9824862,4.722553
21.944132,0.91650105,4.9824758,4.7225513
25.154669,0.9678781,4.9827213,4.722581
14.812361,0.7441607,4.9824266,4.722751
24.334179,0.9558832,4.982595,4.722502
22.532928,0.9554265,4.9824877,4.7227297
22.990345,0.95346826,4.9826126,4.7226143
21.949902,0.94416636,4.982953,4.722762
21.637344,0.9523297,4.9824877,4.7225113
22.40505,0.9538504,4.983895,4.723673
25.527195,0.9675035,4.9830375,4.722716
22.075777,0.93847847,4.982431,4.7224407
23.825224,0.94420683,4.982503,4.7224936
22.139902,0.9557434,4.983315,4.7231774
26.891197,0.98565394,4.982876,4.722801
25.096153,0.97392756,4.982671,4.7226005
27.068958,0.9676394,4.9834013,4.7231526
